;;Mentioned in study;;;;;;;;;;;;;;;;;;;;Presented model as primary;;;;;;;Discussed in detail;;;;;;;;;Models comparison performed;;;;;;;;;;;;;;;;Models used in practice;;;;;;;
Sr.;CITATIONS;TMMi;TPI Next;MPT.Br;Test SPICE;TAIM;MMSST;CTMM;MND-TMM;TPI-EI;STEP;AQAM;ASTMM;ATMM;CTP;MPTA.BR;PTMM;TIM;UTMM;TPI;TMM;TMMi;TPI Next;MPT.Br;TAIM;MMSST;TPI;TMM;TMMi;TPI Next;MPT.Br;TAIM;MMSST;STEP;CTP;TPI;TMM;TMMi;TPI-NEXT;MPT.BR;Test SPICE;CTMM;MND-TMM;ASTMM;ATMM;TIM;UTMM;TPI;TMM;DO-178C;KMM;CMMI;CMM;TMMi;TPI Next;MPT.Br;MND-TMM;TAIM;MMSST;TPI;TMM
;;52;17;5;9;4;1;1;1;3;3;2;4;3;5;1;4;4;5;27;23;16;1;2;1;1;5;4;24;3;2;2;1;1;1;4;4;7;6;1;4;1;1;1;1;1;1;1;3;1;2;1;2;18;2;5;1;2;1;1;1
19;Latif, B., & Rana, T. (2020). A preliminary survey on software testing practices in Khyber PakhtunKhwa region of Pakistan. Turkish Journal of Electrical Engineering and Computer Sciences, 28(1), 575-589.;-;;;;;;;;;;;;;1;;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Costa, I. E. F., & Oliveira, S. R. B. (2021, October). A mapping of prescribed assets in the ACM/IEEE and SBC curriculum to the test design and execution practices of TMMi. In 2021 IEEE Frontiers in Education Conference (FIE) (pp. 1-8). IEEE.;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Aktaş, A. Z., Yağdereli, E., & Serdaroğlu, D. (2021). An introduction to software testing methodologies. Gazi University Journal of Science Part A: Engineering and Innovation, 8(1), 1-15.;1;;;;;;;;;;;;;;;;;;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Machado, E. M. M., Mexas, M. P., Meza, L. A., & de Oliveira, I. A. M. (2022). Implementation processes of quality multi models: ISO 9001, CMMI-DEV ML3, AND MPT. BR ML3 in small and medium-sized enterprises (SMES) of information technology. Economic and Social Development: Book of Proceedings, 29-38.;-;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
23;Costa, I. E. F., & Oliveira, S. R. B. (2022, October). Development of a teaching plan to support learning activities of exploratory test design and execution. In 2022 IEEE Frontiers in Education Conference (FIE) (pp. 1-9). IEEE.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Prastiti, R. T., & Hidayanto, A. N. (2023). Evaluation of Maturity Level and Recommendations for Improvement of Software Testing Process Based on Test Maturity Model Integration (TMMi): A Case Study. Jurnal Komtika (Komputasi dan Informatika), 7(2), 145-154.;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
25;Unudulmaz, A., Cingiz, M. Ö., & Kalıpsız, O. (2022). Adaptation of the Four Levels of Test Maturity Model Integration with Agile and Risk-Based Test Techniques. Electronics, 11(13), 1985.;1;1;;1;;;;;;;;;;;;;;;1;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
26;Amaral, J., Lima, A. S., de Souza, J. N., & Rocha, L. S. FROM THE ART OF SOFTWARE TESTING TO TEST-AS-A-SERVICE IN CLOUD COMPUTING.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Ashraf Valizada, Davide Lorenzo Astolfi: Test Strategy for New Product Development, Master thesis, KTH Royal Institute of Technology (2023).;-;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
28;Huy Trinh: A Practical Approach to JavaScript Testing, Master thesis, Metropolia University of Applied Sciences (2020).;-;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Brajnik, G., Bartolini, M., & Rees, N. (2020, July). A sustainable software testing process for the square kilometre array project. In INCOSE International Symposium (Vol. 30, No. 1, pp. 109-123).;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Yuqing Wang: Software Test Automation Maturity Assessment and Improvement based on Best Practices, Master thesis, University of Oulu (2022).;1;1;;1;1;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;IT8076 - Software Testing, Course, Panimalar Institute of Technology, https://www.pit.ac.in/assets/pdf/be-cse/qb/3/IT8076-Software-Testing.pdf.;-;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Garousi, V., Felderer, M., Kuhrmann, M., Herkiloğlu, K., & Eldh, S. (2020). Exploring the industry's challenges in software testing: An empirical study. Journal of Software: Evolution and Process, 32(8), e2251.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Alam, G., Mahmood, S., Alshayeb, M., Niazi, M., & Zafar, S. (2024). Maturity model for secure software testing. Journal of Software: Evolution and Process, 36(5), e2593.;1;1;1;1;;1;1;;;;;1;1;;;;1;1;1;;;;;;1;;;;;;;1;;;;;1;1;1;1;1;;1;1;1;1;;;;;;;;;1;;;1;;
34;Saragih, M. H., & Retnowardhani, A. (2024). Enhancing Software Quality Assurance in First Unicorn Coffee Shop in Indonesia: A Test Maturity Analysis. Journal of Advances in Information Technology, 15(8).;1;;;1;;;;;1;;1;1;1;;;1;;1;1;1;1;;;;;;;1;;;;;;;;;1;1;;1;;;;;;;;;;;;;1;;;;;;;
35;Kamath, Dayanand: Improving Agile Development Practices, Master thesis, Metropolia University of Applied Sciences (2023).;-;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Sharkov, G., & Stoeva, M. (2022). Multidisciplinary Approach to Industry Standards in the IT Higher Education Programs. In ISGT (pp. 51-62).;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
37;Lazić, L. J. U. B. O. M. I. R., MILINKOVIĆ, S. A., & ILIĆ, S. S. OptimalSQM: Optimal Software Quality Management Repository is a Software Testing Center of Excellence. Plenary Lecture, 1, 24-26.;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Costa, I. E. F., Oliveira, S. R. B., Elgrably, I. S., Guerra, A. D. S., Soares, E. M., & Costa, I. V. F. (2023). Using active methodologies for teaching and learning of exploratory test design and execution. Education Sciences, 13(2), 115.;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Jung, E. (2009, August). A test process improvement model for embedded software developments. In 2009 Ninth International Conference on Quality Software (pp. 432-437). IEEE.;1;1;;;;;;;1;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
